slug,title,year,importance,theme,subtheme,citationCount,status,text_path,text_source,text_chars,truncated_for_model,error
the-cameo-conflict-and-mediation-event-observations-actor-coding-framework-5e6f91ce7a,The CAMEO (Conflict and Mediation Event Observations) Actor Coding Framework,2008,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,67,extracted,data/paper_cache/text/the-cameo-conflict-and-mediation-event-observations-actor-coding-framework-5e6f91ce7a.txt,pdf_pypdf,99292,True,
the-consequences-of-generative-ai-for-democracy-governance-and-war-8b0d5b7a8e,"The Consequences of Generative AI for Democracy, Governance and War",2023,Watchlist,"Foundations, Surveys, and Methods",Political science and computational social science overviews,23,abstract_only,data/paper_cache/text/the-consequences-of-generative-ai-for-democracy-governance-and-war-8b0d5b7a8e.txt,abstract,847,False,downloaded file had too little extractable text
the-delicate-balance-of-terror-171f5fccba,The Delicate Balance of Terror,1958,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",360,extracted,data/paper_cache/text/the-delicate-balance-of-terror-171f5fccba.txt,html,4234,False,
the-end-of-the-policy-analyst-testing-the-capability-of-3beadced81,"The End of the Policy Analyst? Testing the Capability of Artificial Intelligence to Generate Plausible, Persuasive, and Useful Policy Analysis",2023,Important,"Policymaking, Governance, and Institutional Decision Support",Policy translation and policy brief generation,27,extracted,data/paper_cache/text/the-end-of-the-policy-analyst-testing-the-capability-of-3beadced81.txt,html,2360,False,
the-evolution-of-nuclear-strategy-da83332a24,The Evolution of Nuclear Strategy,1981,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",20,extracted,data/paper_cache/text/the-evolution-of-nuclear-strategy-da83332a24.txt,html,11231,False,
the-future-is-unevenly-distributed-forecasting-ability-of-llms-depends-2e1fe28521,The Future Is Unevenly Distributed: Forecasting Ability of LLMs Depends on What We’re Asking,2025,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,1,extracted,data/paper_cache/text/the-future-is-unevenly-distributed-forecasting-ability-of-llms-depends-2e1fe28521.txt,pdf_pypdf,51005,True,
the-future-outcome-reasoning-and-confidence-assessment-benchmark-9c963aa22a,The Future Outcome Reasoning and Confidence Assessment Benchmark,2025,Curated,Peripheral and Borderline Materials,General forecasting benchmarks,5,extracted,data/paper_cache/text/the-future-outcome-reasoning-and-confidence-assessment-benchmark-9c963aa22a.txt,pdf_pypdf,56551,True,
the-inefficient-use-of-power-costly-conflict-with-complete-information-981c2ae5cd,The Inefficient Use of Power: Costly Conflict with Complete Information,2004,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",258,extracted,data/paper_cache/text/the-inefficient-use-of-power-costly-conflict-with-complete-information-981c2ae5cd.txt,html,14926,False,
the-language-you-ask-in-language-conditioned-ideological-divergence-in-b5c24a42ea,The Language You Ask In: Language-Conditioned Ideological Divergence in LLM Analysis of Contested Political Documents,2026,Watchlist,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,0,extracted,data/paper_cache/text/the-language-you-ask-in-language-conditioned-ideological-divergence-in-b5c24a42ea.txt,pdf_pypdf,88774,True,
the-llm-effect-are-humans-truly-using-llms-or-are-666e1f2a86,"The LLM Effect: Are Humans Truly Using LLMs, or Are They Being Influenced By Them Instead?",2024,Important,"Policymaking, Governance, and Institutional Decision Support",Strategic and institutional decision support,20,extracted,data/paper_cache/text/the-llm-effect-are-humans-truly-using-llms-or-are-666e1f2a86.txt,pdf_pypdf,73188,True,
the-meaning-of-the-nuclear-revolution-statecraft-and-the-prospect-11940404cb,The Meaning of the Nuclear Revolution: Statecraft and the Prospect of Armageddon,1989,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",24,abstract_only,data/paper_cache/text/the-meaning-of-the-nuclear-revolution-statecraft-and-the-prospect-11940404cb.txt,html,349,False,no extractable text and no abstract
the-media-frames-corpus-annotations-of-frames-across-issues-3122ee49c4,The Media Frames Corpus: Annotations of Frames Across Issues,2015,Important,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,271,extracted,data/paper_cache/text/the-media-frames-corpus-annotations-of-frames-across-issues-3122ee49c4.txt,pdf_pypdf,27470,False,
the-nuclear-taboo-the-united-states-and-the-non-use-b6e555c718,The Nuclear Taboo: The United States and the Non-Use of Nuclear Weapons Since 1945,2007,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",351,abstract_only,data/paper_cache/text/the-nuclear-taboo-the-united-states-and-the-non-use-b6e555c718.txt,html,349,False,no extractable text and no abstract
the-political-biases-of-chatgpt-c90e2cfb44,The Political Biases of ChatGPT,2023,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",245,extracted,data/paper_cache/text/the-political-biases-of-chatgpt-c90e2cfb44.txt,html,1961,False,
the-political-ideology-of-conversational-ai-converging-evidence-on-chatgpt-efe363d3e0,"The political ideology of conversational AI: Converging evidence on ChatGPT's pro-environmental, left-libertarian orientation",2023,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",322,extracted,data/paper_cache/text/the-political-ideology-of-conversational-ai-converging-evidence-on-chatgpt-efe363d3e0.txt,pdf_pypdf,53822,True,
the-power-of-simplicity-in-llm-based-event-forecasting-3466f3ec20,The Power of Simplicity in LLM-Based Event Forecasting,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,1,extracted,data/paper_cache/text/the-power-of-simplicity-in-llm-based-event-forecasting-3466f3ec20.txt,pdf_pypdf,52181,True,
the-prompt-war-how-ai-decides-on-a-military-intervention-7320cd586d,The Prompt War: How AI Decides on a Military Intervention,2025,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,4,extracted,data/paper_cache/text/the-prompt-war-how-ai-decides-on-a-military-intervention-7320cd586d.txt,pdf_pypdf,52265,True,
the-spread-of-nuclear-weapons-more-may-be-better-e6541a0be3,The Spread of Nuclear Weapons: More May Be Better,1981,Important,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",395,abstract_only,data/paper_cache/text/the-spread-of-nuclear-weapons-more-may-be-better-e6541a0be3.txt,html,598,False,no extractable text and no abstract
the-strategy-of-conflict-2288b44a88,The Strategy of Conflict,1960,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",n/a,abstract_only,data/paper_cache/text/the-strategy-of-conflict-2288b44a88.txt,html,490,False,no extractable text and no abstract
thinking-in-time-the-uses-of-history-for-decision-makers-201bf102ce,Thinking in Time: The Uses of History for Decision-Makers,1986,Important,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,369,missing_text,,html,0,False,no extractable text and no abstract
thinktank-me-a-multi-expert-framework-for-middle-east-event-6c76cef3f1,ThinkTank-ME: A Multi-Expert Framework for Middle East Event Forecasting,2026,Important,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,2,extracted,data/paper_cache/text/thinktank-me-a-multi-expert-framework-for-middle-east-event-6c76cef3f1.txt,pdf_pypdf,25275,False,
this-human-study-did-not-involve-human-subjects-validating-llm-b3ef8dffb1,This human study did not involve human subjects: Validating LLM simulations as behavioral evidence,2026,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,10,extracted,data/paper_cache/text/this-human-study-did-not-involve-human-subjects-validating-llm-b3ef8dffb1.txt,pdf_pypdf,120000,True,
this-land-is-your-my-land-evaluating-geopolitical-bias-in-30f9d6ab87,"This Land is Your, My Land: Evaluating Geopolitical Bias in Language Models through Territorial Disputes",2023,Important,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,34,extracted,data/paper_cache/text/this-land-is-your-my-land-evaluating-geopolitical-bias-in-30f9d6ab87.txt,pdf_pypdf,67534,True,
three-s-a-charm-open-event-data-coding-with-el-3fa8cc0e0d,"Three's a Charm?: Open Event Data Coding with EL:DIABLO, PETRARCH, and the Open Event Data Alliance.",2014,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,49,extracted,data/paper_cache/text/three-s-a-charm-open-event-data-coding-with-el-3fa8cc0e0d.txt,pdf_pypdf,46722,False,
timeseek-temporal-reliability-of-agentic-forecasters-ef1dca80ab,TimeSeek: Temporal Reliability of Agentic Forecasters,2026,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,0,extracted,data/paper_cache/text/timeseek-temporal-reliability-of-agentic-forecasters-ef1dca80ab.txt,pdf_pypdf,37296,False,
toward-an-artificial-deliberation-on-google-deepmind-s-habermas-machine-40f0765787,Toward an artificial deliberation? On Google DeepMind’s Habermas Machine,2025,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,1,extracted,data/paper_cache/text/toward-an-artificial-deliberation-on-google-deepmind-s-habermas-machine-40f0765787.txt,html,9957,False,
toward-better-temporal-structures-for-geopolitical-events-forecasting-cdb2a2b38e,Toward Better Temporal Structures for Geopolitical Events Forecasting,2026,Curated,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,1,extracted,data/paper_cache/text/toward-better-temporal-structures-for-geopolitical-events-forecasting-cdb2a2b38e.txt,pdf_pypdf,63758,True,
towards-using-prompt-engineering-in-large-language-models-to-assist-068f8c88b6,Towards Using Prompt Engineering in Large Language Models to Assist Decision Making,2025,Watchlist,Peripheral and Borderline Materials,Generic decision support and human-AI workflow,1,missing_text,,html,0,False,no extractable text and no abstract
truthtensor-evaluating-llms-through-human-imitation-on-prediction-market-under-070f117fae,TruthTensor: Evaluating LLMs through Human Imitation on Prediction Market under Drift and Holistic Reasoning,2026,Watchlist,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,1,extracted,data/paper_cache/text/truthtensor-evaluating-llms-through-human-imitation-on-prediction-market-under-070f117fae.txt,pdf_pypdf,73440,True,
twinvoice-a-multi-dimensional-benchmark-towards-digital-twins-via-llm-4d91a8e715,TwinVoice: A Multi-dimensional Benchmark Towards Digital Twins via LLM Persona Simulation,2025,Watchlist,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,5,extracted,data/paper_cache/text/twinvoice-a-multi-dimensional-benchmark-towards-digital-twins-via-llm-4d91a8e715.txt,pdf_pypdf,108093,True,
understanding-online-polarization-through-human-agent-interaction-in-a-synthetic-3a64f8aeaf,Understanding Online Polarization Through Human-Agent Interaction in a Synthetic LLM-Based Social Network,2025,Important,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",10,extracted,data/paper_cache/text/understanding-online-polarization-through-human-agent-interaction-in-a-synthetic-3a64f8aeaf.txt,pdf_pypdf,101859,True,
unsc-bench-evaluating-llm-diplomatic-role-playing-through-un-security-2690658be6,UNSC-Bench: Evaluating LLM Diplomatic Role-Playing Through UN Security Council Vote Prediction,2026,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,0,extracted,data/paper_cache/text/unsc-bench-evaluating-llm-diplomatic-role-playing-through-un-security-2690658be6.txt,pdf_pypdf,54325,True,
unveiling-the-truth-and-facilitating-change-towards-agent-based-large-038a85de52,Unveiling the Truth and Facilitating Change: Towards Agent-based Large-scale Social Movement Simulation,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",81,extracted,data/paper_cache/text/unveiling-the-truth-and-facilitating-change-towards-agent-based-large-038a85de52.txt,pdf_pypdf,79789,True,
upskilling-human-actors-against-ai-automation-bias-in-strategic-decision-6f1b83a88a,Upskilling human actors against AI automation bias in strategic decision making on the resort to force,2026,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,1,extracted,data/paper_cache/text/upskilling-human-actors-against-ai-automation-bias-in-strategic-decision-6f1b83a88a.txt,pdf_pypdf,72085,True,
using-imperfect-surrogates-for-downstream-inference-design-based-supervised-lear-249ff03459,Using Imperfect Surrogates for Downstream Inference: Design-based Supervised Learning for Social Science Applications of Large Language Models,2023,Important,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,49,extracted,data/paper_cache/text/using-imperfect-surrogates-for-downstream-inference-design-based-supervised-lear-249ff03459.txt,pdf_pypdf,49390,False,
using-large-language-models-to-simulate-multiple-humans-and-replicate-939bb559d5,Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,2023,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,659,extracted,data/paper_cache/text/using-large-language-models-to-simulate-multiple-humans-and-replicate-939bb559d5.txt,pdf_pypdf,120000,True,
using-llms-to-enhance-democracy-5a5e58b043,Using LLMs to Enhance Democracy,2024,Watchlist,"Policymaking, Governance, and Institutional Decision Support",Democratic governance and augmentation,4,extracted,data/paper_cache/text/using-llms-to-enhance-democracy-5a5e58b043.txt,pdf_pypdf,85648,True,
valid-survey-simulations-with-limited-human-data-the-roles-of-5eea0ed069,"Valid Survey Simulations with Limited Human Data: The Roles of Prompting, Fine-Tuning, and Rectification",2025,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,6,extracted,data/paper_cache/text/valid-survey-simulations-with-limited-human-data-the-roles-of-5eea0ed069.txt,pdf_pypdf,70037,True,
validating-generative-agent-based-models-of-social-norm-enforcement-from-04816c81c5,Validating Generative Agent-Based Models of Social Norm Enforcement: From Replication to Novel Predictions,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,2,extracted,data/paper_cache/text/validating-generative-agent-based-models-of-social-norm-enforcement-from-04816c81c5.txt,pdf_pypdf,51815,True,
validation-is-the-central-challenge-for-generative-social-simulation-a-f593516fb5,Validation is the central challenge for generative social simulation: a critical review of LLMs in agent-based modeling,2025,Important,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,12,extracted,data/paper_cache/text/validation-is-the-central-challenge-for-generative-social-simulation-a-f593516fb5.txt,pdf_pypdf,105280,True,
victims-of-groupthink-ca57e93264,Victims of Groupthink,1972,Important,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,1862,extracted,data/paper_cache/text/victims-of-groupthink-ca57e93264.txt,html,65746,True,
vox-populi-vox-ai-using-language-models-to-estimate-german-b8a4ad9077,"Vox Populi, Vox AI? Using Language Models to Estimate German Public Opinion",2024,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,12,extracted,data/paper_cache/text/vox-populi-vox-ai-using-language-models-to-estimate-german-b8a4ad9077.txt,pdf_pypdf,98691,True,
waltzing-into-uncertainty-ai-in-nuclear-decision-making-and-the-9d24234f2b,Waltzing into uncertainty: AI in nuclear decision making and the challenge of divergent deterrence logics,2026,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",1,extracted,data/paper_cache/text/waltzing-into-uncertainty-ai-in-nuclear-decision-making-and-the-9d24234f2b.txt,pdf_pypdf,71932,True,
war-and-peace-waragent-large-language-model-based-multi-agent-519d54d2e2,War and Peace (WarAgent): Large Language Model-based Multi-Agent Simulation of World Wars,2023,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",149,extracted,data/paper_cache/text/war-and-peace-waragent-large-language-model-based-multi-agent-519d54d2e2.txt,pdf_pypdf,120000,True,
war-as-a-commitment-problem-e497a02b13,War as a Commitment Problem,2006,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",858,extracted,data/paper_cache/text/war-as-a-commitment-problem-e497a02b13.txt,html,21321,False,
warbench-a-comprehensive-benchmark-for-evaluating-llms-in-military-decision-f68ba855c5,WARBENCH: A Comprehensive Benchmark for Evaluating LLMs in Military Decision-Making,2026,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,0,extracted,data/paper_cache/text/warbench-a-comprehensive-benchmark-for-evaluating-llms-in-military-decision-f68ba855c5.txt,pdf_pypdf,87167,True,
wargaming-for-international-relations-research-10b1a85b90,Wargaming for International Relations research,2021,Curated,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment",36,extracted,data/paper_cache/text/wargaming-for-international-relations-research-10b1a85b90.txt,html,2391,False,
what-is-escalation-measuring-crisis-dynamics-in-international-relations-with-f1a24dbfdd,What is Escalation? Measuring Crisis Dynamics in International Relations with Human and LLM Generated Event Data,2024,Important,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",3,extracted,data/paper_cache/text/what-is-escalation-measuring-crisis-dynamics-in-international-relations-with-f1a24dbfdd.txt,pdf_pypdf,69173,True,
what-is-the-political-content-in-llms-pre-and-post-5f75438586,What Is The Political Content in LLMs' Pre- and Post-Training Data?,2025,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",3,extracted,data/paper_cache/text/what-is-the-political-content-in-llms-pre-and-post-5f75438586.txt,pdf_pypdf,71271,True,
what-makes-llm-agent-simulations-useful-for-policy-insights-from-15b9706029,What Makes LLM Agent Simulations Useful for Policy? Insights From an Iterative Design Engagement in Emergency Preparedness,2025,Important,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,8,extracted,data/paper_cache/text/what-makes-llm-agent-simulations-useful-for-policy-insights-from-15b9706029.txt,pdf_pypdf,120000,True,
whatif-interactive-exploration-of-llm-powered-social-simulations-for-policy-8675f6ad49,WhatIf: Interactive Exploration of LLM-Powered Social Simulations for Policy Reasoning,2026,Curated,"Policymaking, Governance, and Institutional Decision Support",Strategic and institutional decision support,0,extracted,data/paper_cache/text/whatif-interactive-exploration-of-llm-powered-social-simulations-for-policy-8675f6ad49.txt,pdf_pypdf,104456,True,
when-ai-navigates-the-fog-of-war-44dda84fa7,When AI Navigates the Fog of War,2026,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",0,extracted,data/paper_cache/text/when-ai-navigates-the-fog-of-war-44dda84fa7.txt,pdf_pypdf,120000,True,
when-reasoning-models-hurt-behavioral-simulation-a-solver-sampler-mismatch-805aeeb127,When Reasoning Models Hurt Behavioral Simulation: A Solver-Sampler Mismatch in Multi-Agent LLM Negotiation,2026,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,1,extracted,data/paper_cache/text/when-reasoning-models-hurt-behavioral-simulation-a-solver-sampler-mismatch-805aeeb127.txt,pdf_pypdf,53722,True,
when-two-llms-debate-both-think-they-ll-win-3331ce9037,"When Two LLMs Debate, Both Think They'll Win",2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Deliberation, persuasion, and information environments",1,extracted,data/paper_cache/text/when-two-llms-debate-both-think-they-ll-win-3331ce9037.txt,pdf_pypdf,120000,True,
who-does-what-archetypes-of-roles-assigned-to-llms-during-505f49431c,Who Does What? Archetypes of Roles Assigned to LLMs During Human-AI Decision-Making,2026,Watchlist,Peripheral and Borderline Materials,Generic decision support and human-AI workflow,1,extracted,data/paper_cache/text/who-does-what-archetypes-of-roles-assigned-to-llms-during-505f49431c.txt,pdf_pypdf,120000,True,
whose-opinions-do-language-models-reflect-fdddf25691,Whose Opinions Do Language Models Reflect?,2023,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",782,extracted,data/paper_cache/text/whose-opinions-do-language-models-reflect-fdddf25691.txt,pdf_pypdf,84678,True,
whose-story-wins-llm-powered-chatbots-as-sites-and-agents-5034e46f48,Whose story wins? LLM-powered chatbots as sites and agents of memory-political contestation and corporate greenwashing,2026,Watchlist,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,2,extracted,data/paper_cache/text/whose-story-wins-llm-powered-chatbots-as-sites-and-agents-5034e46f48.txt,pdf_pypdf,67284,True,
why-do-llms-struggle-in-strategic-play-broken-links-between-5dca6fd7ed,"Why Do LLMs Struggle in Strategic Play? Broken Links Between Observations, Beliefs, and Actions",2026,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,0,extracted,data/paper_cache/text/why-do-llms-struggle-in-strategic-play-broken-links-between-5dca6fd7ed.txt,pdf_pypdf,98118,True,
wisdom-of-the-silicon-crowd-llm-ensemble-prediction-capabilities-rival-e6b6c22cbc,Wisdom of the silicon crowd: LLM ensemble prediction capabilities rival human crowd accuracy,2024,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,72,extracted,data/paper_cache/text/wisdom-of-the-silicon-crowd-llm-ensemble-prediction-capabilities-rival-e6b6c22cbc.txt,pdf_pypdf,70906,True,
